,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,Age
2060,M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9,7.5
2061,F,0.5,0.38,0.14,0.6355,0.27699999999999997,0.14300000000000002,0.1785,8,6.5
2062,M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7,5.5
2063,M,0.525,0.385,0.1,0.5115,0.24600000000000002,0.1005,0.1455,8,6.5
2064,M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8,6.5
2065,F,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035,8,6.5
2066,F,0.54,0.385,0.14,0.7655,0.3265,0.11599999999999999,0.2365,10,8.5
2067,F,0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845,9,7.5
2068,F,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231,9,7.5
2069,M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9,7.5
2070,I,0.55,0.42,0.115,0.6679999999999999,0.2925,0.13699999999999998,0.209,11,9.5
2071,F,0.565,0.44,0.135,0.83,0.39299999999999996,0.1735,0.23800000000000002,9,7.5
2072,M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8,6.5
2073,F,0.58,0.435,0.15,0.8390000000000001,0.3485,0.207,0.192,7,5.5
2074,F,0.585,0.485,0.15,1.079,0.4145,0.2115,0.35600000000000004,11,9.5
2075,M,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,9,7.5
2076,F,0.6,0.47,0.19,1.1345,0.49200000000000005,0.2595,0.3375,10,8.5
2077,F,0.61,0.43,0.14,0.909,0.43799999999999994,0.2,0.22,8,6.5
2078,M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.37200000000000005,8,6.5
2079,F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9,7.5
2080,M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.33899999999999997,9,7.5
2081,M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8,6.5
2082,F,0.665,0.525,0.21,1.6440000000000001,0.818,0.3395,0.4275,10,8.5
2083,M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11,9.5
2084,F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12,10.5
2085,F,0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10,8.5
2086,F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10,8.5
2087,M,0.72,0.585,0.22,1.9140000000000001,0.9155,0.44799999999999995,0.479,11,9.5
2088,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12,10.5
2089,F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10,8.5
2090,M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17,15.5
2091,F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8,6.5
2092,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10,8.5
2093,F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11,9.5
2094,I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7,5.5
2095,M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7,5.5
2096,M,0.5,0.39,0.145,0.6509999999999999,0.273,0.132,0.22,11,9.5
2097,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7,5.5
2098,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8,6.5
2099,F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10,8.5
2100,I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,10,8.5
2101,M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19,17.5
2102,I,0.41,0.31,0.11,0.315,0.124,0.08199999999999999,0.095,9,7.5
2103,M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9,7.5
2104,F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11,9.5
2105,M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10,8.5
2106,M,0.595,0.455,0.155,1.041,0.41600000000000004,0.2105,0.365,14,12.5
2107,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,13.5
2108,M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27,25.5
2109,M,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13,11.5
2110,I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5,3.5
2111,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9,7.5
2112,M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8,6.5
2113,I,0.385,0.29,0.09,0.23199999999999998,0.0855,0.0495,0.08,7,5.5
2114,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4,2.5
2115,I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009000000000000001,3,1.5
2116,I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6,4.5
2117,F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7,5.5
2118,F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8,6.5
2119,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9,7.5
2120,M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7,5.5
2121,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9,7.5
2122,F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11,9.5
2123,F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6,4.5
2124,M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7,5.5
2125,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8,6.5
2126,F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10,8.5
2127,I,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7,5.5
2128,M,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,12,10.5
2129,M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12,10.5
2130,M,0.585,0.455,0.14,0.97,0.462,0.185,0.295,9,7.5
2131,M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6,4.5
2132,F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10,8.5
2133,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9,7.5
2134,F,0.44,0.33,0.115,0.4005,0.14300000000000002,0.113,0.12,8,6.5
2135,M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12,10.5
2136,F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9,7.5
2137,F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10,8.5
2138,F,0.57,0.465,0.18,0.9995,0.405,0.27699999999999997,0.295,16,14.5
2139,M,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14,12.5
2140,F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10,8.5
2141,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7,5.5
2142,I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9,7.5
2143,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10,8.5
2144,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9,7.5
2145,F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9,7.5
2146,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11,9.5
2147,M,0.46,0.375,0.135,0.4935,0.18600000000000003,0.0845,0.17,12,10.5
2148,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,6.5
2149,M,0.27,0.195,0.07,0.106,0.0465,0.018000000000000002,0.036000000000000004,7,5.5
2150,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10,8.5
2151,F,0.745,0.585,0.19,1.966,0.8435,0.43700000000000006,0.5855,18,16.5
2152,F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8,6.5
2153,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5,3.5
2154,M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10,8.5
2155,M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16,14.5
2156,M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12,10.5
2157,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17,15.5
2158,M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14,12.5
2159,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12,10.5
2160,M,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57,19,17.5
2161,F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,17,15.5
2162,F,0.71,0.565,0.195,1.817,0.785,0.49200000000000005,0.49,11,9.5
2163,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9,7.5
2164,M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5,3.5
2165,F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9,7.5
2166,I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6,4.5
2167,F,0.37,0.275,0.085,0.2405,0.10400000000000001,0.0535,0.07,5,3.5
2168,M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6,4.5
2169,I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4,2.5
2170,M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7,5.5
2171,I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6,4.5
2172,I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5,3.5
2173,M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10,8.5
2174,F,0.645,0.5,0.17,1.1845,0.4805,0.27399999999999997,0.355,13,11.5
2175,M,0.575,0.45,0.185,0.925,0.342,0.19699999999999998,0.35,12,10.5
2176,F,0.57,0.45,0.17,1.0979999999999999,0.414,0.187,0.405,20,18.5
2177,F,0.58,0.45,0.235,1.071,0.3,0.20600000000000002,0.395,14,12.5
2178,F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15,13.5
2179,F,0.595,0.47,0.25,1.2830000000000001,0.462,0.2475,0.445,14,12.5
2180,F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21,19.5
2181,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16,14.5
2182,M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13,11.5
2183,M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6,4.5
2184,I,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6,4.5
2185,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9,7.5
2186,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9,7.5
2187,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14,12.5
2188,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12,10.5
2189,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10,8.5
2190,M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11,9.5
2191,M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15,13.5
2192,F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14,12.5
2193,I,0.215,0.17,0.055,0.0605,0.0205,0.013999999999999999,0.02,6,4.5
2194,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13,11.5
2195,I,0.26,0.215,0.08,0.099,0.037000000000000005,0.0255,0.045,5,3.5
2196,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11,9.5
2197,I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10,8.5
2198,I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6,4.5
2199,F,0.68,0.55,0.2,1.5959999999999999,0.525,0.4075,0.585,21,19.5
2200,F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13,11.5
2201,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25,23.5
2202,M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19,17.5
2203,M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18,16.5
2204,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7,5.5
2205,I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6,4.5
2206,F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5,3.5
2207,M,0.42,0.34,0.115,0.4215,0.175,0.09300000000000001,0.135,8,6.5
2208,F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16,14.5
2209,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27,25.5
2210,M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18,16.5
2211,M,0.565,0.47,0.195,1.1420000000000001,0.387,0.258,0.35,17,15.5
2212,F,0.595,0.495,0.235,1.3659999999999999,0.5065,0.21899999999999997,0.52,13,11.5
2213,M,0.63,0.51,0.23,1.5390000000000001,0.5635,0.2815,0.57,17,15.5
2214,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8,6.5
2215,F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10,8.5
2216,I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7,5.5
2217,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13,11.5
2218,M,0.495,0.39,0.15,0.853,0.3285,0.18899999999999997,0.27,14,12.5
2219,F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13,11.5
2220,F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8,6.5
2221,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17,15.5
2222,F,0.625,0.525,0.195,1.3519999999999999,0.4505,0.2445,0.53,13,11.5
2223,F,0.555,0.455,0.18,0.958,0.29600000000000004,0.195,0.39,14,12.5
2224,F,0.55,0.425,0.145,0.797,0.297,0.15,0.265,9,7.5
2225,M,0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28,13,11.5
2226,I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7,5.5
2227,I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7,5.5
2228,F,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12,10.5
2229,M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7,5.5
2230,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13,11.5
2231,F,0.505,0.4,0.165,0.7290000000000001,0.2675,0.155,0.25,9,7.5
2232,F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9,7.5
2233,M,0.595,0.475,0.17,1.0965,0.419,0.22899999999999998,0.35,17,15.5
2234,F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14,12.5
2235,M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13,11.5
2236,F,0.56,0.435,0.185,1.1059999999999999,0.42200000000000004,0.2435,0.33,15,13.5
2237,M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17,15.5
2238,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8,6.5
2239,F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8,6.5
2240,M,0.415,0.315,0.125,0.38799999999999996,0.068,0.09,0.125,12,10.5
2241,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11,9.5
2242,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7,5.5
2243,M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10,8.5
2244,I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11,9.5
2245,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,7.5
2246,F,0.38,0.325,0.11,0.3105,0.12,0.07400000000000001,0.105,10,8.5
2247,F,0.47,0.365,0.12,0.5429999999999999,0.2295,0.1495,0.15,9,7.5
2248,M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6,4.5
2249,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12,10.5
2250,M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11,9.5
2251,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,11.5
2252,F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14,12.5
2253,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11,9.5
2254,M,0.65,0.495,0.18,1.7930000000000001,0.8005,0.33899999999999997,0.53,14,12.5
2255,M,0.51,0.395,0.145,0.6185,0.21600000000000003,0.1385,0.24,12,10.5
2256,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,6.5
2257,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13,11.5
2258,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8,6.5
2259,F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13,11.5
2260,M,0.55,0.46,0.175,0.8690000000000001,0.3155,0.1825,0.32,10,8.5
2261,M,0.585,0.43,0.16,0.955,0.3625,0.17600000000000002,0.27,11,9.5
2262,F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17,15.5
2263,F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13,11.5
2264,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14,12.5
2265,F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13,11.5
2266,F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14,12.5
2267,F,0.61,0.48,0.175,1.0675,0.391,0.21600000000000003,0.42,15,13.5
2268,F,0.545,0.445,0.175,0.8525,0.3465,0.18899999999999997,0.295,13,11.5
2269,M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,10.5
2270,F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18,16.5
2271,F,0.52,0.41,0.17,0.8705,0.3735,0.21899999999999997,0.25,14,12.5
2272,M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15,13.5
2273,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,11.5
2274,M,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685,15,13.5
2275,M,0.655,0.525,0.185,1.2590000000000001,0.48700000000000004,0.2215,0.445,20,18.5
2276,F,0.62,0.48,0.23,1.0935,0.40299999999999997,0.245,0.355,14,12.5
2277,F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19,17.5
2278,M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9,7.5
2279,M,0.525,0.405,0.135,0.7575,0.3305,0.21600000000000003,0.195,10,8.5
2280,M,0.44,0.375,0.13,0.48700000000000004,0.226,0.0965,0.155,9,7.5
2281,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8,6.5
2282,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10,8.5
2283,I,0.435,0.345,0.12,0.4475,0.221,0.11199999999999999,0.125,7,5.5
2284,I,0.405,0.315,0.105,0.34700000000000003,0.1605,0.0785,0.1,9,7.5
2285,I,0.42,0.33,0.1,0.35200000000000004,0.1635,0.08900000000000001,0.1,9,7.5
2286,F,0.5,0.395,0.15,0.7145,0.3235,0.17300000000000001,0.195,9,7.5
2287,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7,5.5
2288,I,0.33,0.265,0.09,0.18,0.068,0.036000000000000004,0.06,6,4.5
2289,F,0.58,0.475,0.155,0.9740000000000001,0.4305,0.23,0.285,10,8.5
2290,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6,4.5
2291,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10,8.5
2292,F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9,7.5
2293,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,4.5
2294,M,0.525,0.425,0.12,0.7020000000000001,0.3335,0.1465,0.22,12,10.5
2295,F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10,8.5
2296,F,0.535,0.45,0.135,0.8075,0.322,0.18100000000000002,0.25,13,11.5
2297,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8,6.5
2298,I,0.415,0.325,0.1,0.385,0.16699999999999998,0.08,0.125,7,5.5
2299,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,6.5
2300,F,0.48,0.405,0.13,0.6375,0.27699999999999997,0.1445,0.21,10,8.5
2301,F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10,8.5
2302,M,0.46,0.375,0.13,0.5735,0.2505,0.11900000000000001,0.195,9,7.5
2303,F,0.58,0.455,0.12,0.94,0.39899999999999997,0.257,0.265,11,9.5
2304,M,0.59,0.49,0.135,1.008,0.42200000000000004,0.2245,0.285,11,9.5
2305,F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23,21.5
2306,F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12,10.5
2307,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16,14.5
2308,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11,9.5
2309,M,0.47,0.375,0.13,0.5795,0.2145,0.16399999999999998,0.195,13,11.5
2310,F,0.435,0.35,0.11,0.384,0.14300000000000002,0.1005,0.125,13,11.5
2311,M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7,5.5
2312,I,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04,8,6.5
2313,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,14.5
2314,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14,12.5
2315,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,15.5
2316,M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13,11.5
2317,M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13,11.5
2318,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12,10.5
2319,F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15,13.5
2320,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,8.5
2321,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,12.5
2322,M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12,10.5
2323,I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8,6.5
2324,F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17,15.5
2325,F,0.415,0.305,0.105,0.3605,0.12,0.08199999999999999,0.1,10,8.5
2326,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,9.5
2327,M,0.475,0.395,0.135,0.5920000000000001,0.2465,0.1645,0.2,13,11.5
2328,F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15,13.5
2329,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15,13.5
2330,I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9,7.5
2331,M,0.59,0.46,0.155,0.9059999999999999,0.327,0.1485,0.335,15,13.5
2332,F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9,7.5
2333,M,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445,13,11.5
2334,F,0.8,0.63,0.195,2.526,0.9329999999999999,0.59,0.62,23,21.5
2335,M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23,21.5
2336,F,0.565,0.48,0.175,0.9570000000000001,0.3885,0.215,0.275,18,16.5
2337,M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11,9.5
2338,M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17,15.5
2339,M,0.64,0.52,0.2,1.4069999999999998,0.5660000000000001,0.304,0.455,17,15.5
2340,F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11,9.5
2341,I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7,5.5
2342,I,0.255,0.185,0.07,0.075,0.027999999999999997,0.018000000000000002,0.025,6,4.5
2343,I,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008,6,4.5
2344,M,0.67,0.55,0.17,1.247,0.47200000000000003,0.2455,0.4,21,19.5
2345,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,15.5
2346,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13,11.5
2347,M,0.505,0.4,0.13,0.764,0.3035,0.18899999999999997,0.2175,11,9.5
2348,M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16,14.5
2349,F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9,7.5
2350,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.21600000000000003,12,10.5
2351,M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19,17.5
2352,M,0.7,0.53,0.19,1.3185,0.5479999999999999,0.233,0.42,18,16.5
2353,F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17,15.5
2354,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11,9.5
2355,M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,11.5
2356,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,11.5
2357,M,0.585,0.455,0.125,1.0270000000000001,0.391,0.212,0.25,17,15.5
2358,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,18.5
2359,F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13,11.5
2360,F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11,9.5
2361,M,0.55,0.45,0.155,0.7895,0.34299999999999997,0.159,0.25,12,10.5
2362,F,0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41,18,16.5
2363,M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18,16.5
2364,F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15,13.5
2365,F,0.63,0.505,0.165,1.065,0.4595,0.21600000000000003,0.315,12,10.5
2366,M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19,17.5
2367,M,0.65,0.545,0.16,1.2425,0.48700000000000004,0.29600000000000004,0.48,15,13.5
2368,F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16,14.5
2369,I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12,10.5
2370,I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8,6.5
2371,M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3,1.5
2372,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12,10.5
2373,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12,10.5
2374,I,0.435,0.335,0.11,0.38299999999999995,0.1555,0.0675,0.135,12,10.5
2375,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10,8.5
2376,F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,8,6.5
2377,I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,12,10.5
2378,I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,12,10.5
2379,F,0.36,0.265,0.09,0.2165,0.096,0.037000000000000005,0.0735,10,8.5
2380,M,0.175,0.135,0.04,0.0305,0.011000000000000001,0.0075,0.01,5,3.5
2381,M,0.155,0.115,0.025,0.024,0.009000000000000001,0.005,0.0075,5,3.5
2382,I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11,9.5
2383,F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16,14.5
2384,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11,9.5
2385,F,0.45,0.345,0.115,0.496,0.1905,0.11699999999999999,0.14,12,10.5
2386,F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14,12.5
2387,I,0.47,0.35,0.135,0.5670000000000001,0.2315,0.1465,0.1525,11,9.5
